1ce once
2 too/two
4 for
accptd accepted
aftr after
abt about
b be
bcz because
bcoz because
bak back
bk back
bt but
bday birthday
b'day birthday
bk back
bro brother
c see
cum cum/come
cums cums/comes
cm come
cmng coming
cmnt comment
cn can
cnt can't
cuz because
coz because
congoz congratulations
congo congratulations
d the
da the
dis this
dnt don't
dt that
ds this
evr ever
f of
f9 fine
fingr finger
fr for
frm from
frnd friend
frnds freinds
frndz friends
frnz friends
gud good
gr8 great
grt great
hpy happy
hrt heart
hv have
hw how
jst just
k ok
kk ok
kno know
lite light
luk look
luv love
luking looking
lukng looking
lyk like
m am
ma my
mah my 
msn MSN/missing
mst must
n and
nd and
nite night
nt not
nw now
nyc nice
nybdy anybody
osum awesome
ossum awesome
obv obvious
picha picture
piccha picture
ppl people
prob problem
plz please
reasns reasons
reasn reason
sometym sometime
sometyms sometimes
ssup what's-up
smthng something
strt start
supalyk super-like
suppalyk super-like
tym time
thnx thanks
r are
thnx thanks
thanku thank-you
u you
ur your
v we/very
wid with
wud would
wt what
wnt want/won't
wts what's
xprncd experienced
y why
z is

